Uitrekking (mm);Kracht (N)
0.140325;28788.1
0.139875;28795.5
0.1401;28802.7
0.139388;28809.2
0.139763;28816.6
0.139575;28823.9
0.139425;28832.4
0.138975;28839
0.139538;28845
0.1395;28848.7
0.140025;28852.5
0.139875;28855.5
0.140288;28859.4
0.139538;28861.4
0.139913;28862.8
0.138863;28862.4
0.137138;28860.2
0.136688;28855.4
0.137813;28850.6
0.139463;28845.8
0.139575;28841
0.138938;28836.6
0.138675;28833.1
0.137625;28829.2
0.135863;28825.3
0.135563;28822.2
0.135863;28820.3
0.135863;28819.1
0.136275;28818.1
0.135225;28818.2
0.13605;28818.7
0.13515;28818.6
0.135788;28817
0.137738;28818.2
0.1386;28821.4
0.138488;28824
0.13935;28824.4
0.1398;28824.9
0.140063;28826.9
0.139613;28826.3
0.139388;28825
0.13935;28827.2
0.13905;28836.5
0.139463;28849.2
0.140213;28859.8
0.140625;28869.2
0.14095;28878.7
0.141288;28889.8
0.141063;28899.1
0.1411;28904.9
0.140838;28908.8
0.14185;28916.4
0.141738;28923.6
0.140425;28925.6
0.140988;28925.1
0.141475;28925
0.142713;28924.7
0.142675;28925.5
0.143163;28928
0.143088;28931.6
0.142713;28933.5
0.143613;28934.5
0.142938;28933.4
0.144225;28924.4
0.144188;28910.7
0.144263;28900.2
0.145163;28895.7
0.144263;28893.3
0.144488;28888.5
0.144225;28881.8
0.14335;28872.3
0.144563;28864.4
0.144288;28859.6
0.144575;28860
0.145113;28863.8
0.145313;28872.5
0.1455;28882.6
0.145813;28892
0.145838;28897.7
0.146463;28897.2
0.14575;28892.1
0.1453;28890
0.144375;28892.8
0.144213;28897.7
0.143388;28900.8
0.1459;28809.8
0.148913;28768.4
0.153288;28731.5
0.1559;28696
0.160738;28657.8
0.16765;28620.4
0.171825;28590.7
0.17665;28566.5
0.179963;28548.3
0.183363;28536.2
0.187613;28527.8
0.190663;28518.1
0.193213;28504.6
0.194413;28490.5
0.197175;28477.8
0.2004;28469
0.202675;28463
0.206675;28461.2
0.208938;28463.3
0.211775;28471.7
0.21505;28486.4
0.218325;28504.9
0.221688;28526.2
0.2239;28549.6
0.227413;28575.7
0.231613;28604
0.235763;28632.6
0.240175;28661
0.243975;28689.7
0.248588;28720.5
0.252838;28752.1
0.255;28782.1
0.258488;28809.8
0.262525;28834.2
0.267488;28856.1
0.272538;28880.1
0.278188;28899.7
0.284388;28911.8
0.29115;28921
0.297538;28937.1
0.304575;28956.7
0.31205;28973.1
0.318963;28979.4
0.326738;28982.2
0.335975;28986.8
0.346325;28986.7
0.357238;28982.6
0.366238;28982.2
0.3746;28978
0.381975;28965.5
0.388975;28947
0.397075;28923.3
0.405325;28897.1
0.413875;28876.6
0.421775;28871.2
0.429225;28872.9
0.437363;28876
0.4448;28879.3
0.451488;28884.2
0.459188;28889.2
0.466938;28889.8
0.475025;28890.5
0.482925;28898
0.490988;28913
0.499338;28932.1
0.506963;28950.9
0.513613;28969.8
0.521275;28988
0.53125;29000.1
0.540663;29002.2
0.55175;29000.3
0.560163;29003.8
0.569813;29013.5
0.578025;29026.8
0.587963;29036.3
0.59665;29039.4
0.60635;29040.3
0.617338;29047.6
0.6263;29060.4
0.637188;29070.9
0.646188;29075.5
0.656613;29077.3
0.6674;29082.6
0.677275;29096.2
0.686925;29113.8
0.696238;29129.7
0.705013;29136
0.71545;29127.6
0.724575;29112.5
0.735175;29099.9
0.745725;29090.8
0.756738;29085.8
0.767063;29080.6
0.777625;29069.1
0.788338;29054.2
0.799225;29046.6
0.809125;29046.6
0.818938;29053.5
0.828138;29057
0.8388;29045.1
0.849725;29011
0.8621;28968
0.873438;28932.9
0.884925;28913.5
0.8954;28904.4
0.905275;28901.4
0.914788;28904.7
0.925588;28914.1
0.9364;28924.1
0.946225;28928.5
0.956825;28922.6
0.9673;28909.8
0.977513;28896
0.98915;28887.1
1.00046;28886.1
1.01104;28885.2
1.02141;28886.8
1.03069;28891.2
1.04166;28890.5
1.05315;28884.3
1.06331;28882.6
1.0739;28888.3
1.08376;28892.1
1.09454;28890.5
1.10415;28886.1
