Tijd (s);Hoogte (m)
268;5.85274124
268.2;5.84550068
268.4;5.842692563
268.6;5.844651597
268.8;5.851520002
269;5.863242583
269.2;5.879570826
269.4;5.900075755
269.6;5.924168864
269.8;5.951130056
270;5.980141166
270.2;6.010323418
270.4;6.040776957
270.6;6.070620521
270.8;6.099029368
271;6.125269621
271.2;6.148727458
271.4;6.168931805
271.6;6.185569571
271.8;6.198492813
272;6.207717678
272.2;6.213415348
272.4;6.215895638
272.6;6.215584249
272.8;6.212994986
273;6.208698495
273.2;6.203289197
273.4;6.197352203
273.6;6.191431898
273.8;6.186003837
274;6.181451322
274.2;6.178047801
274.4;6.175945877
274.6;6.175173352
274.8;6.175636352
275;6.177129188
275.2;6.179350248
275.4;6.181922908
275.6;6.184420193
275.8;6.186391706
276;6.18739129
276.2;6.187003826
276.4;6.184869665
276.6;6.180705327
276.8;6.174319354
277;6.165622459
277.2;6.154631469
277.4;6.141466898
277.6;6.126344365
277.8;6.109560427
278;6.091473685
278.2;6.072482324
278.4;6.052999433
278.6;6.033427571
278.8;6.014134106
279;5.995428793
279.2;5.977544952
279.4;5.960625375
279.6;5.944713866
279.8;5.929752956
280;5.91558801
