Kracht (N);Uitrekking (mm)
5237.867;1.747
5240.8;1.748
5245.133;1.749
5248;1.751
5251.933;1.752
5256.733;1.753
5261.667;1.754
5265.267;1.756
5269.067;1.757
5271.867;1.758
5276.267;1.759
5280.533;1.761
5283.2;1.762
5286.733;1.763
5291.733;1.764
5296.2;1.766
5298.867;1.767
5303.467;1.768
5308.267;1.769
5312.467;1.771
5314.8;1.772
5318.267;1.773
5323.2;1.774
5327.867;1.776
5331;1.777
5334.6;1.778
5338.933;1.779
5342.8;1.781
5345.667;1.782
5348.533;1.783
5352.933;1.784
5357.867;1.786
5360.467;1.787
5363.4;1.788
5366.933;1.789
5371.267;1.79
5375.133;1.792
5379.467;1.793
5382.667;1.794
5387.2;1.796
5390.667;1.797
5394.267;1.798
5398;1.799
5400.8;1.8
5405.733;1.802
5409.6;1.803
5412.2;1.804
5416.133;1.806
5421.4;1.807
5423.733;1.808
5427.867;1.809
5431.933;1.81
5435.2;1.812
5438.533;1.813
5442.4;1.814
5446.4;1.815
5449.467;1.817
5453.067;1.818
5456.467;1.819
5461.467;1.82
5465;1.822
5468.467;1.823
5473.467;1.824
5479.533;1.825
5482.667;1.827
5485.467;1.828
5489.8;1.829
5494.4;1.83
5498;1.832
5501.6;1.833
5506.067;1.834
5511.533;1.835
5514.6;1.837
5518.6;1.838
5521.867;1.839
5526.4;1.84
5531.867;1.842
5535.733;1.843
5539.4;1.844
5544.2;1.845
5549.533;1.847
5552.533;1.848
5557.667;1.849
5563.467;1.85
5568.867;1.851
5573;1.853
5578.4;1.854
5582.533;1.855
5586.067;1.857
5589;1.858
5592.867;1.859
5596.6;1.86
5599.733;1.861
5603.333;1.863
5607.2;1.864
